file,img_1.png.txt,img_10.png.txt,img_2.png.txt,img_3.png.txt,img_4.png.txt,img_5.png.txt,img_6.png.txt,img_7.png.txt,img_8.png.txt,img_9.png.txt
img_1.png.txt,1.000000,0.753214,0.822666,0.800246,0.792261,0.653193,0.896763,0.677881,0.751424,0.683748
img_10.png.txt,0.753214,1.000000,0.559288,0.685832,0.880851,0.646228,0.684238,0.747924,0.767301,0.713841
img_2.png.txt,0.822666,0.559288,1.000000,0.784350,0.708605,0.669221,0.813187,0.656485,0.760106,0.663838
img_3.png.txt,0.800246,0.685832,0.784350,1.000000,0.752515,0.667939,0.797996,0.724750,0.779500,0.721661
img_4.png.txt,0.792261,0.880851,0.708605,0.752515,1.000000,0.703584,0.778868,0.857325,0.873132,0.795268
img_5.png.txt,0.653193,0.646228,0.669221,0.667939,0.703584,1.000000,0.670900,0.792767,0.723862,0.860492
img_6.png.txt,0.896763,0.684238,0.813187,0.797996,0.778868,0.670900,1.000000,0.696237,0.730220,0.726922
img_7.png.txt,0.677881,0.747924,0.656485,0.724750,0.857325,0.792767,0.696237,1.000000,0.910647,0.855070
img_8.png.txt,0.751424,0.767301,0.760106,0.779500,0.873132,0.723862,0.730220,0.910647,1.000000,0.753554
img_9.png.txt,0.683748,0.713841,0.663838,0.721661,0.795268,0.860492,0.726922,0.855070,0.753554,1.000000
